time,step,loss,perplexity
35922,13129,2.9836435317993164,19.759680670697065
35928,13131,2.4492475986480713,11.579630910789426
35936,13134,3.1927525997161865,24.355375860407023
35941,13136,3.0423784255981445,20.95502397716707
35947,13138,3.033482551574707,20.769437424891542
35955,13141,3.0493593215942383,21.101820610008787
35958,13142,2.8317711353302,16.975500122872596
35963,13144,2.916996479034424,18.48568186222387
35977,13149,2.87148380279541,17.66320748180482
35979,13150,2.914149284362793,18.433124383515786
35982,13151,2.9880893230438232,19.847723651358866
35985,13152,3.1417670249938965,23.14472805966687
35993,13155,3.1336982250213623,22.958729281132324
35996,13156,3.031670093536377,20.731827784322544
35999,13157,2.940363645553589,18.92272622650816
36001,13158,3.1100571155548096,22.422325027708215
36007,13160,2.811969041824341,16.6426560629732
36009,13161,3.073260545730591,21.61225566604268
36012,13162,3.064418315887451,21.421997526723416
36015,13163,3.358994960784912,28.760271148604406
36023,13166,3.017827272415161,20.44681802157423
36039,13172,2.9444642066955566,19.000479329099328
36042,13173,2.768726348876953,15.938321216117329
36045,13174,2.785902976989746,16.21445254593382
36050,13176,2.945301055908203,19.016386520297665
36053,13177,2.8517322540283203,17.317754623043324
36059,13179,2.8324546813964844,16.98710762588435
36064,13181,2.880265712738037,17.81900728784347
36067,13182,2.924429416656494,18.623596703648147
36075,13185,2.844071388244629,17.18559251366183
36089,13190,2.5634822845458984,12.980942035226883
36094,13192,2.869415760040283,17.626716958526142
36110,13198,2.770458221435547,15.96594827362762
36113,13199,2.9950509071350098,19.986377313168088
36116,13200,3.0403988361358643,20.913582664446285
36119,13201,2.9406771659851074,18.928659817902663
36121,13202,2.920740127563477,18.55501545726618
36127,13204,2.806835412979126,16.557437770444185
36138,13208,3.1435623168945312,23.186316923399563
36140,13209,3.0364437103271484,20.83103017425385
36146,13211,2.8822708129882812,17.854772027777464
36165,13218,3.1132397651672363,22.493801113101792
36176,13222,2.8399288654327393,17.114548057874
36179,13223,2.8104100227355957,16.616730059302096
36181,13224,2.996309757232666,20.01155300908953
36195,13229,3.020452976226806,20.50057585477797
36200,13231,2.8612589836120605,17.483524557251073
36203,13232,3.0163376331329346,20.416382312994436
36214,13236,2.889097213745117,17.977072819236913
36217,13237,2.7505569458007812,15.651346408862937
36219,13238,3.024808883666992,20.590069236612393
36228,13241,2.916961431503296,18.4850339960665
36236,13244,2.9265291690826416,18.66274273010947
36239,13245,2.956146001815796,19.22374054275932
36244,13247,3.145570755004883,23.232932002027677
36252,13250,3.0125668048858643,20.339540611347093
36258,13252,3.206735849380493,24.698335418032332
36260,13253,3.139978408813477,23.103368024208656
36271,13257,3.1481266021728516,23.292387773055157
36274,13258,2.939074993133545,18.898357114592393
36279,13260,2.787724733352661,16.24401825060899
36282,13261,3.162952184677124,23.640283495871177
36290,13264,3.122976541519165,22.71388795324349
36293,13265,2.8764562606811523,17.751255763904
36299,13267,2.8047537803649902,16.523007116393796
36315,13273,2.889631748199463,17.986684752773034
36326,13277,2.7768921852111816,16.069003778650952
36329,13278,3.2810122966766357,26.60268888754221
36334,13280,3.1997203826904297,24.525671435977536
36342,13283,3.1579017639160156,23.521191103788084
36356,13288,3.127706527709961,22.82157881697227
36358,13289,2.8729681968688965,17.68944611172504
36361,13290,2.8975980281829834,18.130543970096575
36364,13291,2.922621726989746,18.589961430556365
36369,13293,2.8877739906311035,17.95330087222363
36375,13295,3.0665557384490967,21.467834356438793
36380,13297,2.9588634967803955,19.27605200676267
36383,13298,3.2534496784210205,25.879461929035333
36386,13299,2.9833884239196777,19.754640463384455
36394,13302,3.151296615600586,23.366342111251807
36397,13303,2.910465955734253,18.365354015648133
36399,13304,2.8206546306610107,16.787836908556322
36405,13306,2.9381628036499023,18.881126092147888
36408,13307,2.565004348754883,13.000714906470137
36413,13309,2.9794225692749023,19.67645157610733
36416,13310,3.0670433044433594,21.478303894529432
36418,13311,3.8302762508392334,46.07526480684115
36429,13315,3.108804702758789,22.394260598720315
36435,13317,3.020810604095459,20.50790874317153
36438,13318,2.886965036392212,17.93878334617976
36443,13320,2.831648111343384,16.97341185762527
36446,13321,2.556955099105835,12.8964889397214
36451,13323,3.108591079711914,22.38947717948119
36454,13324,2.8342504501342773,17.01763994899509
36465,13328,3.0461039543151855,21.03323812482204
36470,13330,2.823598146438598,16.837324970081628
36476,13332,2.747011661529541,15.595956181683285
36484,13335,2.8458006381988525,17.21533640863195
36487,13336,2.9852757453918457,19.79195902549041
36489,13337,2.961311101913452,19.32328995694151
36492,13338,3.187655448913574,24.23154868777389
36498,13340,2.814143657684326,16.678886826518735
36500,13341,2.7839300632476807,16.182494365418773
36506,13343,3.118001699447632,22.60117055594139
36511,13345,3.002885341644287,20.1435742478105
36517,13347,2.87658429145813,17.753528616466212
36519,13348,3.2062790393829346,24.687055548065157
36522,13349,2.937407970428467,18.866879368542005
36530,13352,2.9906527996063232,19.898668095304046
36536,13354,2.912309408187866,18.399240897400883
36544,13357,2.972536087036133,19.541415537106467
36549,13359,3.03767728805542,20.85674272508819
36566,13365,2.998188018798828,20.049175261140224
36571,13367,2.8908519744873047,18.008645974444555
36574,13368,2.9601144790649414,19.300181095723783
36577,13369,2.987912893295288,19.844222231352468
36579,13370,3.2809808254241943,26.601851680778655
36582,13371,3.107069969177246,22.355446198881
36593,13375,3.429541826248169,30.862499122791196
36596,13376,2.847327947616577,17.241649643168593
36604,13379,2.918198585510254,18.507916981913677
36609,13381,2.8427605628967285,17.16307996161171
36617,13384,3.2710483074188232,26.338936177954594
36623,13386,3.0199880599975586,20.491047019580854
36628,13388,2.8491923809051514,17.27382553429392
36642,13393,2.9418554306030273,18.950975932593114
36645,13394,3.0157928466796875,20.405262773648214
36656,13398,2.989893913269043,19.883572996413047
36658,13399,3.1444077491760254,23.2059276728278
36661,13400,3.030491828918457,20.70741459060507
36667,13402,2.872494697570801,17.68107215409542
36675,13405,2.934171676635742,18.80591929950595
36688,13410,3.011319637298584,20.314189607317687
36707,13417,2.936453342437744,18.84887711149559
36721,13422,2.8622279167175293,17.500473132686796
36729,13425,2.9711568355560303,19.51448158941701
36740,13429,2.762874126434326,15.845319015214304
36751,13433,2.7225122451782227,15.218506880818184
36754,13434,2.937221050262451,18.863353097894056
36762,13437,2.8676183223724365,17.595062490493405
36765,13438,2.987696647644043,19.839931468538715
36767,13439,2.83413028717041,17.0155951817959
36770,13440,2.9945881366729736,19.977130347880667
36778,13443,2.8486685752868652,17.2647797767459
36781,13444,2.843817710876465,17.181233470701272
36787,13446,2.855175018310547,17.377478318420316
36803,13452,3.4780709743499756,32.39716679415635
36806,13453,3.155642032623291,23.46809954113362
36811,13455,2.458526134490967,11.68757292878017
36814,13456,2.962768077850342,19.35146404493049
36819,13458,3.016716241836548,20.42411359650769
36822,13459,3.05289626121521,21.17658862242644
36827,13461,2.9293975830078125,18.71635205134295
36830,13462,3.0273640155792236,20.64274685005982
36833,13463,2.8991811275482178,18.159269154158057
36838,13465,2.825193166732788,16.86420227433345
36844,13467,3.090650796890259,21.99138524482516
36846,13468,2.9435954093933105,18.983978932704645
36849,13469,2.81575083732605,16.705714346420155
36857,13472,2.97464370727539,19.582644852604183
36860,13473,3.133267641067505,22.94884574870085
36866,13475,2.8571314811706543,17.411509989347362
36868,13476,2.762458562850952,15.838735645663698
36871,13477,3.565753698348999,35.36609873197342
36876,13479,3.0200300216674805,20.491906876172628
36879,13480,3.0156731605529785,20.40282069292687
36882,13481,2.6512129306793213,14.17121692901264
36893,13485,3.191119432449341,24.315631920864515
36898,13487,2.9668307304382324,19.430242236269795
36901,13488,3.039702892303467,20.89903304902243
36904,13489,2.743126392364502,15.535479254677648
36906,13490,3.170588493347168,23.821499025950654
36915,13493,2.8556265830993652,17.385327147741478
36923,13496,2.098447322845459,8.1535003255388
36928,13498,2.6631929874420166,14.34200992440402
36934,13500,3.1432583332061768,23.17926973243165
36936,13501,2.9041635990142822,18.24997297151053
36945,13504,2.984940528869629,19.78532554570616
36950,13506,3.1537604331970215,23.423983495879867
36953,13507,2.832393169403076,16.98606274716866
36961,13510,3.0290722846984863,20.678040353859117
36964,13511,2.9468789100646973,19.046415289089015
36966,13512,2.9143500328063965,18.436825175998266
36969,13513,2.880934238433838,17.830923734870762
36972,13514,2.8683900833129883,17.608646913759518
36980,13517,2.989221572875977,19.870208960223177
36983,13518,3.0727500915527344,21.601226415048156
36986,13519,3.003276824951172,20.15146166466479
36994,13522,2.8827414512634277,17.863177144617453
37002,13525,2.6957035064697266,14.815938196161325
37005,13526,3.373958110809326,29.193851172314194
37010,13528,2.932555913925171,18.775557931352388
37021,13532,2.9943878650665283,19.97312989649551
37032,13536,3.094146728515625,22.06840016499897
37035,13537,2.987584352493286,19.837703665531528
37037,13538,2.8400471210479736,17.116572068957023
37040,13539,3.0993218421936035,22.182902670737263
37048,13542,2.9608163833618164,19.313732731184544
37054,13544,3.106973648071289,22.35329300127981
