"time","bs8,tbs524288,seq2048 - client_1/train_loss","bs8,tbs524288,seq2048 - client_1/train_loss__MIN","bs8,tbs524288,seq2048 - client_1/train_loss__MAX","bs8,tbs524288,seq2048 - _step","bs8,tbs524288,seq2048 - _step__MIN","bs8,tbs524288,seq2048 - _step__MAX"
"37371","2.918668746948242","2.918668746948242","2.918668746948242","14681","14681","14681"
"37374","2.900075912475586","2.900075912475586","2.900075912475586","14682","14682","14682"
"37377","2.9925925731658936","2.9925925731658936","2.9925925731658936","14683","14683","14683"
"37379","2.9088268280029297","2.9088268280029297","2.9088268280029297","14684","14684","14684"
"37382","2.5124025344848633","2.5124025344848633","2.5124025344848633","14689","14689","14689"
"37385","2.939148187637329","2.939148187637329","2.939148187637329","14690","14690","14690"
"37388","2.9110493659973145","2.9110493659973145","2.9110493659973145","14691","14691","14691"
"37390","2.74452805519104","2.74452805519104","2.74452805519104","14696","14696","14696"
"37393","2.9129557609558105","2.9129557609558105","2.9129557609558105","14697","14697","14697"
"37396","2.6606225967407227","2.6606225967407227","2.6606225967407227","14698","14698","14698"
"37398","2.9409992694854736","2.9409992694854736","2.9409992694854736","14699","14699","14699"
"37401","2.698452949523926","2.698452949523926","2.698452949523926","14703","14703","14703"
"37404","2.8947553634643555","2.8947553634643555","2.8947553634643555","14704","14704","14704"
"37407","3.12721586227417","3.12721586227417","3.12721586227417","14705","14705","14705"
"37409","2.714414596557617","2.714414596557617","2.714414596557617","14706","14706","14706"
"37412","2.8761212825775146","2.8761212825775146","2.8761212825775146","14711","14711","14711"
"37415","2.780524730682373","2.780524730682373","2.780524730682373","14712","14712","14712"
"37418","2.7758708000183105","2.7758708000183105","2.7758708000183105","14713","14713","14713"
"37420","2.8322372436523438","2.8322372436523438","2.8322372436523438","14718","14718","14718"
"37423","2.92510986328125","2.92510986328125","2.92510986328125","14719","14719","14719"
"37426","2.9367761611938477","2.9367761611938477","2.9367761611938477","14720","14720","14720"
"37428","2.6980059146881104","2.6980059146881104","2.6980059146881104","14721","14721","14721"
"37431","3.0900230407714844","3.0900230407714844","3.0900230407714844","14725","14725","14725"
"37434","3.0875723361968994","3.0875723361968994","3.0875723361968994","14726","14726","14726"
"37437","2.8500053882598877","2.8500053882598877","2.8500053882598877","14727","14727","14727"
"37439","3.161616802215576","3.161616802215576","3.161616802215576","14728","14728","14728"
"37442","2.914708137512207","2.914708137512207","2.914708137512207","14733","14733","14733"
"37445","2.859981060028076","2.859981060028076","2.859981060028076","14734","14734","14734"
"37447","2.9909563064575195","2.9909563064575195","2.9909563064575195","14735","14735","14735"
"37450","2.8562707901000977","2.8562707901000977","2.8562707901000977","14740","14740","14740"
"37453","2.839081287384033","2.839081287384033","2.839081287384033","14741","14741","14741"
"37456","2.726738929748535","2.726738929748535","2.726738929748535","14742","14742","14742"
"37458","2.9498848915100098","2.9498848915100098","2.9498848915100098","14743","14743","14743"
"37461","3.009280204772949","3.009280204772949","3.009280204772949","14747","14747","14747"
"37464","2.934891700744629","2.934891700744629","2.934891700744629","14748","14748","14748"
"37467","3.035748243331909","3.035748243331909","3.035748243331909","14749","14749","14749"
"37469","2.726560115814209","2.726560115814209","2.726560115814209","14750","14750","14750"
"37472","3.0660338401794434","3.0660338401794434","3.0660338401794434","14755","14755","14755"
"37475","3.081094980239868","3.081094980239868","3.081094980239868","14756","14756","14756"
"37477","2.8928494453430176","2.8928494453430176","2.8928494453430176","14757","14757","14757"
"37480","2.9426088333129883","2.9426088333129883","2.9426088333129883","14761","14761","14761"
"37483","2.908125877380371","2.908125877380371","2.908125877380371","14762","14762","14762"
"37486","2.928358554840088","2.928358554840088","2.928358554840088","14763","14763","14763"
"37488","2.8969244956970215","2.8969244956970215","2.8969244956970215","14764","14764","14764"
"37491","2.8294761180877686","2.8294761180877686","2.8294761180877686","14769","14769","14769"
"37494","2.9530234336853027","2.9530234336853027","2.9530234336853027","14770","14770","14770"
"37497","3.5221028327941895","3.5221028327941895","3.5221028327941895","14771","14771","14771"
"37499","3.1294572353363037","3.1294572353363037","3.1294572353363037","14772","14772","14772"
"37502","2.836984634399414","2.836984634399414","2.836984634399414","14777","14777","14777"
"37505","3.0223405361175537","3.0223405361175537","3.0223405361175537","14778","14778","14778"
"37507","2.8323259353637695","2.8323259353637695","2.8323259353637695","14779","14779","14779"
"37510","3.1501808166503906","3.1501808166503906","3.1501808166503906","14783","14783","14783"
"37513","2.9954657554626465","2.9954657554626465","2.9954657554626465","14784","14784","14784"
"37516","2.705631732940674","2.705631732940674","2.705631732940674","14785","14785","14785"
"37518","2.668121814727783","2.668121814727783","2.668121814727783","14786","14786","14786"
"37521","2.7236547470092773","2.7236547470092773","2.7236547470092773","14791","14791","14791"
"37524","2.767465591430664","2.767465591430664","2.767465591430664","14792","14792","14792"
"37526","3.002227783203125","3.002227783203125","3.002227783203125","14793","14793","14793"
"37529","2.745619773864746","2.745619773864746","2.745619773864746","14794","14794","14794"
"37532","2.7440686225891113","2.7440686225891113","2.7440686225891113","14799","14799","14799"
"37535","2.9684739112854004","2.9684739112854004","2.9684739112854004","14800","14800","14800"
"37537","2.8000407218933105","2.8000407218933105","2.8000407218933105","14801","14801","14801"
"37540","3.145312547683716","3.145312547683716","3.145312547683716","14802","14802","14802"
"37543","3.168205738067627","3.168205738067627","3.168205738067627","14806","14806","14806"
"37546","2.7222707271575928","2.7222707271575928","2.7222707271575928","14807","14807","14807"
"37548","2.7508678436279297","2.7508678436279297","2.7508678436279297","14808","14808","14808"
"37551","2.8779101371765137","2.8779101371765137","2.8779101371765137","14813","14813","14813"
"37554","3.54278302192688","3.54278302192688","3.54278302192688","14814","14814","14814"
"37556","3.0736827850341797","3.0736827850341797","3.0736827850341797","14815","14815","14815"
"37559","2.761497974395752","2.761497974395752","2.761497974395752","14816","14816","14816"
"37562","2.9213132858276367","2.9213132858276367","2.9213132858276367","14821","14821","14821"
"37565","2.9798498153686523","2.9798498153686523","2.9798498153686523","14822","14822","14822"
"37567","3.0152578353881836","3.0152578353881836","3.0152578353881836","14823","14823","14823"
"37570","3.0024027824401855","3.0024027824401855","3.0024027824401855","14824","14824","14824"
"37573","2.908358573913574","2.908358573913574","2.908358573913574","14828","14828","14828"
"37576","2.9085938930511475","2.9085938930511475","2.9085938930511475","14829","14829","14829"
"37578","2.9021875858306885","2.9021875858306885","2.9021875858306885","14830","14830","14830"
"37581","3.068851947784424","3.068851947784424","3.068851947784424","14835","14835","14835"
"37584","3.053267478942871","3.053267478942871","3.053267478942871","14836","14836","14836"
"37586","2.4830353260040283","2.4830353260040283","2.4830353260040283","14837","14837","14837"
"37589","2.825284957885742","2.825284957885742","2.825284957885742","14838","14838","14838"
"37592","2.8553526401519775","2.8553526401519775","2.8553526401519775","14842","14842","14842"
"37595","3.129748582839966","3.129748582839966","3.129748582839966","14843","14843","14843"
"37597","3.061797618865967","3.061797618865967","3.061797618865967","14844","14844","14844"
"37600","2.9252712726593018","2.9252712726593018","2.9252712726593018","14845","14845","14845"
"37603","2.9569668769836426","2.9569668769836426","2.9569668769836426","14850","14850","14850"
"37606","2.980288505554199","2.980288505554199","2.980288505554199","14851","14851","14851"
"37608","2.9910130500793457","2.9910130500793457","2.9910130500793457","14852","14852","14852"
"37611","3.347365140914917","3.347365140914917","3.347365140914917","14857","14857","14857"
"37614","2.948230028152466","2.948230028152466","2.948230028152466","14858","14858","14858"
"37616","3.009222984313965","3.009222984313965","3.009222984313965","14859","14859","14859"
"37619","2.8742871284484863","2.8742871284484863","2.8742871284484863","14860","14860","14860"
"37622","3.0407471656799316","3.0407471656799316","3.0407471656799316","14864","14864","14864"
"37625","3.127272605895996","3.127272605895996","3.127272605895996","14865","14865","14865"
"37627","2.8596839904785156","2.8596839904785156","2.8596839904785156","14866","14866","14866"
"37630","3.095975399017334","3.095975399017334","3.095975399017334","14867","14867","14867"
"37633","3.042616605758667","3.042616605758667","3.042616605758667","14872","14872","14872"
"37636","3.09079647064209","3.09079647064209","3.09079647064209","14873","14873","14873"
"37638","3.108936309814453","3.108936309814453","3.108936309814453","14874","14874","14874"
"37641","2.860572338104248","2.860572338104248","2.860572338104248","14879","14879","14879"
"37644","2.7446353435516357","2.7446353435516357","2.7446353435516357","14880","14880","14880"
"37646","3.085484027862549","3.085484027862549","3.085484027862549","14881","14881","14881"
"37649","2.885085105895996","2.885085105895996","2.885085105895996","14882","14882","14882"
"37652","2.92706036567688","2.92706036567688","2.92706036567688","14886","14886","14886"
"37655","2.8918046951293945","2.8918046951293945","2.8918046951293945","14887","14887","14887"
"37657","2.993670701980591","2.993670701980591","2.993670701980591","14888","14888","14888"
"37660","2.946092128753662","2.946092128753662","2.946092128753662","14889","14889","14889"
"37663","2.886265993118286","2.886265993118286","2.886265993118286","14894","14894","14894"
"37666","2.856981039047241","2.856981039047241","2.856981039047241","14895","14895","14895"
"37668","2.7879514694213867","2.7879514694213867","2.7879514694213867","14896","14896","14896"
"37671","2.7811031341552734","2.7811031341552734","2.7811031341552734","14900","14900","14900"
"37674","2.7056736946105957","2.7056736946105957","2.7056736946105957","14901","14901","14901"
"37676","2.9795873165130615","2.9795873165130615","2.9795873165130615","14902","14902","14902"
"37679","2.799067258834839","2.799067258834839","2.799067258834839","14903","14903","14903"
"37682","2.7530651092529297","2.7530651092529297","2.7530651092529297","14908","14908","14908"
"37685","2.7585110664367676","2.7585110664367676","2.7585110664367676","14909","14909","14909"
