"time","single - client_0/train_loss","single - client_0/train_loss__MIN","single - client_0/train_loss__MAX","single - _step","single - _step__MIN","single - _step__MAX"
"1856","3.207136869430542","3.207136869430542","3.207136869430542","649","649","649"
"1858","3.405508041381836","3.405508041381836","3.405508041381836","650","650","650"
"1861","3.6677753925323486","3.6677753925323486","3.6677753925323486","651","651","651"
"1864","3.554781436920166","3.554781436920166","3.554781436920166","652","652","652"
"1889","3.5024497509002686","3.5024497509002686","3.5024497509002686","661","661","661"
"1891","3.4708681106567383","3.4708681106567383","3.4708681106567383","662","662","662"
"1902","3.516324996948242","3.516324996948242","3.516324996948242","666","666","666"
"1905","3.4628591537475586","3.4628591537475586","3.4628591537475586","667","667","667"
"1913","3.258326530456543","3.258326530456543","3.258326530456543","670","670","670"
"1924","3.4170827865600586","3.4170827865600586","3.4170827865600586","674","674","674"
"1927","3.504544496536255","3.504544496536255","3.504544496536255","675","675","675"
"1940","3.5037450790405273","3.5037450790405273","3.5037450790405273","680","680","680"
"1946","3.5992603302001953","3.5992603302001953","3.5992603302001953","682","682","682"
"1954","3.329627275466919","3.329627275466919","3.329627275466919","685","685","685"
"1968","3.323895215988159","3.323895215988159","3.323895215988159","690","690","690"
"1971","3.471904754638672","3.471904754638672","3.471904754638672","691","691","691"
"1973","3.400895357131958","3.400895357131958","3.400895357131958","692","692","692"
"1979","3.483214855194092","3.483214855194092","3.483214855194092","694","694","694"
"1984","3.268813371658325","3.268813371658325","3.268813371658325","696","696","696"
"1993","3.4141287803649902","3.4141287803649902","3.4141287803649902","699","699","699"
"1998","3.452042579650879","3.452042579650879","3.452042579650879","701","701","701"
"2001","3.2996444702148438","3.2996444702148438","3.2996444702148438","702","702","702"
"2028","3.236854314804077","3.236854314804077","3.236854314804077","712","712","712"
"2034","3.690509796142578","3.690509796142578","3.690509796142578","714","714","714"
"2045","3.388308048248291","3.388308048248291","3.388308048248291","718","718","718"
"2047","3.238892078399658","3.238892078399658","3.238892078399658","719","719","719"
"2053","3.1621053218841553","3.1621053218841553","3.1621053218841553","721","721","721"
"2058","3.3640081882476807","3.3640081882476807","3.3640081882476807","723","723","723"
"2064","3.593082904815674","3.593082904815674","3.593082904815674","725","725","725"
"2066","3.1217403411865234","3.1217403411865234","3.1217403411865234","726","726","726"
"2072","3.4203789234161377","3.4203789234161377","3.4203789234161377","728","728","728"
"2077","3.4739339351654053","3.4739339351654053","3.4739339351654053","730","730","730"
"2086","3.564908504486084","3.564908504486084","3.564908504486084","733","733","733"
"2116","3.628246784210205","3.628246784210205","3.628246784210205","744","744","744"
"2118","3.29118013381958","3.29118013381958","3.29118013381958","745","745","745"
"2135","3.5691909790039062","3.5691909790039062","3.5691909790039062","751","751","751"
"2143","3.3076348304748535","3.3076348304748535","3.3076348304748535","754","754","754"
"2151","3.359839677810669","3.359839677810669","3.359839677810669","757","757","757"
"2154","3.498136043548584","3.498136043548584","3.498136043548584","758","758","758"
"2157","3.3998100757598877","3.3998100757598877","3.3998100757598877","759","759","759"
"2159","3.437631130218506","3.437631130218506","3.437631130218506","760","760","760"
"2165","3.1600589752197266","3.1600589752197266","3.1600589752197266","762","762","762"
"2168","3.817014455795288","3.817014455795288","3.817014455795288","763","763","763"
"2181","3.1538596153259277","3.1538596153259277","3.1538596153259277","768","768","768"
"2184","3.478543281555176","3.478543281555176","3.478543281555176","769","769","769"
"2192","3.3643088340759277","3.3643088340759277","3.3643088340759277","772","772","772"
"2195","3.566225051879883","3.566225051879883","3.566225051879883","773","773","773"
"2200","3.0336718559265137","3.0336718559265137","3.0336718559265137","775","775","775"
"2217","3.288203716278076","3.288203716278076","3.288203716278076","781","781","781"
"2220","3.7385807037353516","3.7385807037353516","3.7385807037353516","782","782","782"
"2236","3.213535785675049","3.213535785675049","3.213535785675049","788","788","788"
"2239","3.296435832977295","3.296435832977295","3.296435832977295","789","789","789"
"2242","3.3210344314575195","3.3210344314575195","3.3210344314575195","790","790","790"
"2252","3.3601346015930176","3.3601346015930176","3.3601346015930176","794","794","794"
"2272","3.971745729446411","3.971745729446411","3.971745729446411","801","801","801"
"2280","3.375662326812744","3.375662326812744","3.375662326812744","804","804","804"
"2285","3.271064043045044","3.271064043045044","3.271064043045044","806","806","806"
"2288","3.3343231678009033","3.3343231678009033","3.3343231678009033","807","807","807"
"2302","3.6340489387512207","3.6340489387512207","3.6340489387512207","812","812","812"
"2340","3.4981813430786133","3.4981813430786133","3.4981813430786133","826","826","826"
"2343","3.3787035942077637","3.3787035942077637","3.3787035942077637","827","827","827"
"2356","3.5620017051696777","3.5620017051696777","3.5620017051696777","832","832","832"
"2370","3.203749418258667","3.203749418258667","3.203749418258667","837","837","837"
"2373","3.3568503856658936","3.3568503856658936","3.3568503856658936","838","838","838"
"2376","3.495321750640869","3.495321750640869","3.495321750640869","839","839","839"
"2400","3.589740514755249","3.589740514755249","3.589740514755249","848","848","848"
"2414","3.228332042694092","3.228332042694092","3.228332042694092","853","853","853"
"2417","3.2554750442504883","3.2554750442504883","3.2554750442504883","854","854","854"
"2425","3.5122601985931396","3.5122601985931396","3.5122601985931396","857","857","857"
"2436","3.4553322792053223","3.4553322792053223","3.4553322792053223","861","861","861"
"2441","3.431431293487549","3.431431293487549","3.431431293487549","863","863","863"
"2452","3.289402723312378","3.289402723312378","3.289402723312378","867","867","867"
"2460","3.5701756477355957","3.5701756477355957","3.5701756477355957","870","870","870"
"2469","3.4873251914978027","3.4873251914978027","3.4873251914978027","873","873","873"
"2474","3.171546459197998","3.171546459197998","3.171546459197998","875","875","875"
"2480","2.9916324615478516","2.9916324615478516","2.9916324615478516","877","877","877"
"2482","3.7280325889587402","3.7280325889587402","3.7280325889587402","878","878","878"
"2491","3.475656509399414","3.475656509399414","3.475656509399414","881","881","881"
"2493","3.523071765899658","3.523071765899658","3.523071765899658","882","882","882"
"2499","3.3809378147125244","3.3809378147125244","3.3809378147125244","884","884","884"
"2501","3.0759453773498535","3.0759453773498535","3.0759453773498535","885","885","885"
"2510","3.402606964111328","3.402606964111328","3.402606964111328","888","888","888"
"2518","3.1706175804138184","3.1706175804138184","3.1706175804138184","891","891","891"
"2529","3.4034342765808105","3.4034342765808105","3.4034342765808105","895","895","895"
"2537","3.1791374683380127","3.1791374683380127","3.1791374683380127","898","898","898"
"2542","3.48329496383667","3.48329496383667","3.48329496383667","900","900","900"
"2551","3.3201308250427246","3.3201308250427246","3.3201308250427246","903","903","903"
"2556","3.495629072189331","3.495629072189331","3.495629072189331","905","905","905"
"2559","3.3354332447052","3.3354332447052","3.3354332447052","906","906","906"
"2567","3.5584568977355957","3.5584568977355957","3.5584568977355957","909","909","909"
"2575","3.493394374847412","3.493394374847412","3.493394374847412","912","912","912"
"2578","3.4593420028686523","3.4593420028686523","3.4593420028686523","913","913","913"
"2586","3.197618007659912","3.197618007659912","3.197618007659912","916","916","916"
"2594","3.380218982696533","3.380218982696533","3.380218982696533","919","919","919"
"2597","3.088388681411743","3.088388681411743","3.088388681411743","920","920","920"
"2600","3.393263101577759","3.393263101577759","3.393263101577759","921","921","921"
